rank,img,title,artist,album
1,https://cdnimg.melon.co.kr/cm2/album/images/112/11/297/11211297_20230410151046_500.jpg/melon/resize/120/quality/80/optimize,I AM,IVE (아이브)IVE (아이브),I've IVE
2,https://cdnimg.melon.co.kr/cm2/album/images/112/34/678/11234678_20230502162327_500.jpg/melon/resize/120/quality/80/optimize,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌)LE SSERAFIM (르세라핌),UNFORGIVEN
3,https://cdnimg.melon.co.kr/cm2/album/images/112/11/297/11211297_20230410151046_500.jpg/melon/resize/120/quality/80/optimize,Kitsch,IVE (아이브)IVE (아이브),I've IVE
4,https://cdnimg.melon.co.kr/cm2/album/images/112/29/537/11229537_20230421170444_500.jpg/melon/resize/120/quality/80/optimize,손오공,세븐틴 (SEVENTEEN)세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML'
5,https://cdnimg.melon.co.kr/cm2/album/images/112/36/264/11236264_20230508184331_500.jpg/melon/resize/120/quality/80/optimize,Spicy,aespaaespa,MY WORLD - The 3rd Mini Album
6,https://cdnimg.melon.co.kr/cm2/album/images/112/14/411/11214411_20230330163342_500.jpg/melon/resize/120/quality/80/optimize,꽃,지수 (JISOO)지수 (JISOO),ME
7,https://cdnimg.melon.co.kr/cm2/album/images/111/27/145/11127145_20230102135733_500.jpg/melon/resize/120/quality/80/optimize,Ditto,NewJeansNewJeans,NewJeans 'OMG'
8,https://cdnimg.melon.co.kr/cm2/album/images/110/11/565/11011565_20220801102637_500.jpg/melon/resize/120/quality/80/optimize,Hype boy,NewJeansNewJeans,NewJeans 1st EP 'New Jeans'
9,https://cdnimg.melon.co.kr/cm2/album/images/111/66/539/11166539_20230207143921_500.jpg/melon/resize/120/quality/80/optimize,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN)부석순 (SEVENTEEN),부석순 1st Single Album 'SECOND WIND'
10,https://cdnimg.melon.co.kr/cm2/album/images/112/33/031/11233031_20230427140957_500.jpg/melon/resize/120/quality/80/optimize,물론,허각허각,물론
11,https://cdnimg.melon.co.kr/cm2/album/images/112/27/533/11227533_20230419162238_500.jpg/melon/resize/120/quality/80/optimize,헤어지자 말해요,박재정박재정,1집 Alone
12,https://cdnimg.melon.co.kr/cm2/album/images/111/27/145/11127145_20230102135733_500.jpg/melon/resize/120/quality/80/optimize,OMG,NewJeansNewJeans,NewJeans 'OMG'
13,https://cdnimg.melon.co.kr/cm2/album/images/112/24/405/11224405_20230414143309_500.jpg/melon/resize/120/quality/80/optimize,FRIEND THE END,볼빨간사춘기볼빨간사춘기,사랑.zip
14,https://cdnimg.melon.co.kr/cm2/album/images/107/35/654/10735654_20211008114339_500.jpg/melon/resize/120/quality/80/optimize,사랑은 늘 도망가,임영웅임영웅,신사와 아가씨 OST Part.2
15,https://cdnimg.melon.co.kr/cm2/album/images/111/65/170/11165170_20230214120544_500.jpg/melon/resize/120/quality/80/optimize,Teddy Bear,STAYC(스테이씨)STAYC(스테이씨),Teddy Bear
16,https://cdnimg.melon.co.kr/cm2/album/images/109/03/868/10903868_20220330103544_500.jpg/melon/resize/120/quality/80/optimize,사건의 지평선,윤하 (YOUNHA)윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition'
17,https://cdnimg.melon.co.kr/cm2/album/images/112/30/265/11230265_20230424170802_500.jpg/melon/resize/120/quality/80/optimize,Heaven(2023),임재현임재현,시작은 첫키스 OST Part.1
18,https://cdnimg.melon.co.kr/cm2/album/images/112/19/412/11219412_20230421104829_500.jpg/melon/resize/120/quality/80/optimize,사람 Pt.2 (feat. 아이유),Agust DAgust D,D-DAY
19,https://cdnimg.melon.co.kr/cm2/album/images/112/22/887/11222887_20230412154617_500.jpg/melon/resize/120/quality/80/optimize,빛이 나는 너에게,던 (DAWN)던 (DAWN),빛이 나는 너에게
20,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/120/quality/80/optimize,우리들의 블루스,임영웅임영웅,IM HERO
21,https://cdnimg.melon.co.kr/cm2/album/images/108/44/485/10844485_20221006154824_500.jpg/melon/resize/120/quality/80/optimize,I Don't Think That I Like Her,Charlie PuthCharlie Puth,CHARLIE
22,https://cdnimg.melon.co.kr/cm2/album/images/111/88/020/11188020_20230223114923_500.jpg/melon/resize/120/quality/80/optimize,Cupid,FIFTY FIFTYFIFTY FIFTY,The Beginning: Cupid
23,https://cdnimg.melon.co.kr/cm2/album/images/110/34/298/11034298_20220822101843_500.jpg/melon/resize/120/quality/80/optimize,After LIKE,IVE (아이브)IVE (아이브),After LIKE
24,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/120/quality/80/optimize,다시 만날 수 있을까,임영웅임영웅,IM HERO
25,https://cdnimg.melon.co.kr/cm2/album/images/112/29/537/11229537_20230421170444_500.jpg/melon/resize/120/quality/80/optimize,F*ck My Life,세븐틴 (SEVENTEEN)세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML'
26,https://cdnimg.melon.co.kr/cm2/album/images/111/80/278/11180278_20230217160723_500.jpg/melon/resize/120/quality/80/optimize,심(心),DK(디셈버)DK(디셈버),심(心)
27,https://cdnimg.melon.co.kr/cm2/album/images/110/78/496/11078496_20221014153848_500.jpg/melon/resize/120/quality/80/optimize,ANTIFRAGILE,LE SSERAFIM (르세라핌)LE SSERAFIM (르세라핌),ANTIFRAGILE
28,https://cdnimg.melon.co.kr/cm2/album/images/111/02/375/11102375_20221115101140_500.jpg/melon/resize/120/quality/80/optimize,London Boy,임영웅임영웅,Polaroid
29,https://cdnimg.melon.co.kr/cm/album/images/023/36/926/2336926_500.jpg/melon/resize/120/quality/80/optimize,Dangerously,Charlie PuthCharlie Puth,Nine Track Mind (Deluxe Edition)
30,https://cdnimg.melon.co.kr/cm2/album/images/111/75/689/11175689_20230214163916_500.jpg/melon/resize/120/quality/80/optimize,CHRISTIAN,Zior ParkZior Park,WHERE DOES SASQUATCH LIVE? PART 1
31,https://cdnimg.melon.co.kr/cm2/album/images/104/12/319/10412319_20200403103006_500.jpg/melon/resize/120/quality/80/optimize,이제 나만 믿어요,임영웅임영웅,내일은 미스터트롯 우승자 특전곡
32,https://cdnimg.melon.co.kr/cm2/album/images/111/02/375/11102375_20221115101140_500.jpg/melon/resize/120/quality/80/optimize,Polaroid,임영웅임영웅,Polaroid
33,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/120/quality/80/optimize,무지개,임영웅임영웅,IM HERO
34,https://cdnimg.melon.co.kr/cm2/album/images/110/11/565/11011565_20220801102637_500.jpg/melon/resize/120/quality/80/optimize,Attention,NewJeansNewJeans,NewJeans 1st EP 'New Jeans'
35,https://cdnimg.melon.co.kr/cm2/album/images/112/05/764/11205764_20230317094319_500.jpg/melon/resize/120/quality/80/optimize,Like Crazy,지민지민,FACE
36,https://cdnimg.melon.co.kr/cm2/album/images/109/09/179/10909179_20220405103521_500.jpg/melon/resize/120/quality/80/optimize,LOVE DIVE,IVE (아이브)IVE (아이브),LOVE DIVE
37,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/120/quality/80/optimize,아버지,임영웅임영웅,IM HERO
38,https://cdnimg.melon.co.kr/cm2/album/images/110/31/616/11031616_20220817122214_500.jpg/melon/resize/120/quality/80/optimize,NIGHT DANCER,imaseimase,NIGHT DANCER
39,https://cdnimg.melon.co.kr/cm2/album/images/112/35/799/11235799_20230502104633_500.jpg/melon/resize/120/quality/80/optimize,나의 바람 (Wind And Wish),비투비비투비,WIND AND WISH
40,https://cdnimg.melon.co.kr/cm2/album/images/112/01/031/11201031_20230320162256_500.jpg/melon/resize/120/quality/80/optimize,Love Me Like This,NMIXXNMIXX,expérgo
41,https://cdnimg.melon.co.kr/cm2/album/images/112/34/467/11234467_20230428140751_500.jpg/melon/resize/120/quality/80/optimize,안녕이라고 말하지마,V.O.SV.O.S,안녕이라고 말하지마
42,https://cdnimg.melon.co.kr/cm2/album/images/112/21/404/11221404_20230411101938_500.jpg/melon/resize/120/quality/80/optimize,KNOCK,이채연이채연,Over The Moon
43,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/120/quality/80/optimize,A bientot,임영웅임영웅,IM HERO
44,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/120/quality/80/optimize,인생찬가,임영웅임영웅,IM HERO
45,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/120/quality/80/optimize,손이 참 곱던 그대,임영웅임영웅,IM HERO
46,https://cdnimg.melon.co.kr/cm2/album/images/104/79/150/10479150_20200918102847_500.jpg/melon/resize/120/quality/80/optimize,Dynamite,방탄소년단방탄소년단,Dynamite (DayTime Version)
47,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/120/quality/80/optimize,사랑해 진짜,임영웅임영웅,IM HERO
48,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/120/quality/80/optimize,연애편지,임영웅임영웅,IM HERO
49,https://cdnimg.melon.co.kr/cm2/album/images/108/71/162/10871162_20220217162422_500.jpg/melon/resize/120/quality/80/optimize,사랑인가 봐,멜로망스멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙)
50,https://cdnimg.melon.co.kr/cm2/album/images/112/15/072/11215072_20230331123824_500.jpg/melon/resize/120/quality/80/optimize,사랑하지 않아서 그랬어,임한별임한별,사랑하지 않아서 그랬어
51,https://cdnimg.melon.co.kr/cm/album/images/100/37/969/10037969_500.jpg/melon/resize/120/quality/80/optimize,봄날,방탄소년단방탄소년단,YOU NEVER WALK ALONE
52,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/120/quality/80/optimize,보금자리,임영웅임영웅,IM HERO
53,https://cdnimg.melon.co.kr/cm2/album/images/112/29/537/11229537_20230421170444_500.jpg/melon/resize/120/quality/80/optimize,먼지,세븐틴 (SEVENTEEN)세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML'
54,https://cdnimg.melon.co.kr/cm2/album/images/111/88/007/11188007_20230223114254_500.jpg/melon/resize/120/quality/80/optimize,사랑하기 싫어,지아지아,사랑하기 싫어
55,https://cdnimg.melon.co.kr/cm/album/images/022/32/505/2232505_500.jpg/melon/resize/120/quality/80/optimize,너의 모든 순간,성시경성시경,별에서 온 그대 OST Part.7
56,https://cdnimg.melon.co.kr/cm2/album/images/106/12/483/10612483_20210521111412_500.jpg/melon/resize/120/quality/80/optimize,Butter,방탄소년단방탄소년단,Butter
57,https://cdnimg.melon.co.kr/cm2/album/images/111/24/139/11124139_20221215162633_500.jpg/melon/resize/120/quality/80/optimize,Candy,NCT DREAMNCT DREAM,Candy - Winter Special Mini Album
58,https://cdnimg.melon.co.kr/cm2/album/images/111/40/018/11140018_20230105103451_500.jpg/melon/resize/120/quality/80/optimize,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키)H1-KEY (하이키),H1-KEY 1st Mini Album [Rose Blossom]
59,https://cdnimg.melon.co.kr/cm2/album/images/106/48/182/10648182_20210709104950_500.jpg/melon/resize/120/quality/80/optimize,Permission to Dance,방탄소년단방탄소년단,Butter / Permission to Dance
60,https://cdnimg.melon.co.kr/cm2/album/images/111/94/815/11194815_20230303100153_500.jpg/melon/resize/120/quality/80/optimize,on the street (with J. Cole),"j-hope, J. Colej-hope, J. Cole",on the street (with J. Cole)
61,https://cdnimg.melon.co.kr/cm2/album/images/109/39/458/10939458_20220502123814_500.jpg/melon/resize/120/quality/80/optimize,FEARLESS,LE SSERAFIM (르세라핌)LE SSERAFIM (르세라핌),FEARLESS
62,https://cdnimg.melon.co.kr/cm2/album/images/111/95/614/11195614_20230303182750_500.jpg/melon/resize/120/quality/80/optimize,Nostalgia,우디 (Woody)우디 (Woody),Nostalgia
63,https://cdnimg.melon.co.kr/cm2/album/images/112/29/537/11229537_20230421170444_500.jpg/melon/resize/120/quality/80/optimize,April shower,세븐틴 (SEVENTEEN)세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML'
64,https://cdnimg.melon.co.kr/cm2/album/images/110/78/852/11078852_20221017102947_500.jpg/melon/resize/120/quality/80/optimize,Nxde,(여자)아이들(여자)아이들,I love
65,https://cdnimg.melon.co.kr/cm2/album/images/106/46/395/10646395_20210707141710_500.jpg/melon/resize/120/quality/80/optimize,STAY,"The Kid LAROI, Justin BieberThe Kid LAROI, Justin Bieber",Stay
66,https://cdnimg.melon.co.kr/cm2/album/images/109/75/276/10975276_20220603165713_500.jpg/melon/resize/120/quality/80/optimize,해요 (2022),#안녕#안녕,해요 (2022)
67,https://cdnimg.melon.co.kr/cm2/album/images/112/36/264/11236264_20230508184331_500.jpg/melon/resize/120/quality/80/optimize,Thirsty,aespaaespa,MY WORLD - The 3rd Mini Album
68,https://cdnimg.melon.co.kr/cm2/album/images/108/44/485/10844485_20221006154824_500.jpg/melon/resize/120/quality/80/optimize,That's Hilarious,Charlie PuthCharlie Puth,CHARLIE
69,https://cdnimg.melon.co.kr/cm2/album/images/108/16/959/10816959_20211217144957_500.jpg/melon/resize/120/quality/80/optimize,취중고백,김민석 (멜로망스)김민석 (멜로망스),취중고백
70,https://cdnimg.melon.co.kr/cm2/album/images/109/95/477/10995477_20220701165440_500.jpg/melon/resize/120/quality/80/optimize,그라데이션,10CM10CM,5.3
71,https://cdnimg.melon.co.kr/cm2/album/images/107/98/794/10798794_20211201113915_500.jpg/melon/resize/120/quality/80/optimize,ELEVEN,IVE (아이브)IVE (아이브),ELEVEN
72,https://cdnimg.melon.co.kr/cm2/album/images/110/57/545/11057545_20221021124737_500.jpg/melon/resize/120/quality/80/optimize,Monologue,테이테이,Monologue
73,https://cdnimg.melon.co.kr/cm2/album/images/110/33/394/11033394_20220916124707_500.jpg/melon/resize/120/quality/80/optimize,Shut Down,BLACKPINKBLACKPINK,BORN PINK
74,https://cdnimg.melon.co.kr/cm2/album/images/111/46/937/11146937_20230112154123_500.jpg/melon/resize/120/quality/80/optimize,VIBE (feat. Jimin of BTS),태양태양,VIBE (feat. Jimin of BTS)
75,https://cdnimg.melon.co.kr/cm2/album/images/111/28/774/11128774_20221220164233_500.jpg/melon/resize/120/quality/80/optimize,Say I Love You,우디 (Woody)우디 (Woody),Say I Love You (Re : WIND 4MEN Vol.04)
76,https://cdnimg.melon.co.kr/cm2/album/images/112/29/537/11229537_20230421170444_500.jpg/melon/resize/120/quality/80/optimize,I Don't Understand But I Luv U,세븐틴 (SEVENTEEN)세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML'
77,https://cdnimg.melon.co.kr/cm2/album/images/112/09/910/11209910_20230323192006_500.jpg/melon/resize/120/quality/80/optimize,밤이 무서워요 (Lonely Night),주주 시크릿주주 시크릿,밤이 무서워요 (Lonely Night)
78,https://cdnimg.melon.co.kr/cm2/album/images/112/13/288/11213288_20230329152659_500.jpg/melon/resize/120/quality/80/optimize,발걸음,DK(디셈버)DK(디셈버),발걸음
79,https://cdnimg.melon.co.kr/cm2/album/images/110/33/394/11033394_20220916124707_500.jpg/melon/resize/120/quality/80/optimize,Pink Venom,BLACKPINKBLACKPINK,BORN PINK
80,https://cdnimg.melon.co.kr/cm2/album/images/112/42/802/11242802_20230512092757_500.jpg/melon/resize/120/quality/80/optimize,The Planet,방탄소년단방탄소년단,The Planet
81,https://cdnimg.melon.co.kr/cm2/album/images/108/90/384/10890384_20220314111504_500.jpg/melon/resize/120/quality/80/optimize,TOMBOY,(여자)아이들(여자)아이들,I NEVER DIE
82,https://cdnimg.melon.co.kr/cm2/album/images/108/97/407/10897407_20220323150744_500.jpg/melon/resize/120/quality/80/optimize,내가 아니라도,주호주호,내가 아니라도
83,https://cdnimg.melon.co.kr/cm2/album/images/112/19/412/11219412_20230421104829_500.jpg/melon/resize/120/quality/80/optimize,해금,Agust DAgust D,D-DAY
84,https://cdnimg.melon.co.kr/cm2/album/images/110/45/985/11045985_20220905151107_500.jpg/melon/resize/120/quality/80/optimize,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO)지코 (ZICO),스트릿 맨 파이터(SMF) Original Vol.3 (계급미션)
85,https://cdnimg.melon.co.kr/cm2/album/images/109/25/762/10925762_20220419152007_500.jpg/melon/resize/120/quality/80/optimize,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현)BIG Naughty (서동현),정이라고 하자
86,https://cdnimg.melon.co.kr/cm2/album/images/106/10/525/10610525_20210518143433_500.jpg/melon/resize/120/quality/80/optimize,다정히 내 이름을 부르면,"경서예지, 전건호경서예지, 전건호",다정히 내 이름을 부르면 (경서예지 x 전건호)
87,https://cdnimg.melon.co.kr/cm2/album/images/112/29/537/11229537_20230421170444_500.jpg/melon/resize/120/quality/80/optimize,Fire,세븐틴 (SEVENTEEN)세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML'
88,https://cdnimg.melon.co.kr/cm2/album/images/112/25/395/11225395_20230417142523_500.jpg/melon/resize/120/quality/80/optimize,Perfume,NCT 도재정NCT 도재정,Perfume - The 1st Mini Album
89,https://cdnimg.melon.co.kr/cm2/album/images/110/00/171/11000171_20220708163659_500.jpg/melon/resize/120/quality/80/optimize,그때 그 순간 그대로 (그그그),WSG워너비 (가야G)WSG워너비 (가야G),WSG워너비 1집
90,https://cdnimg.melon.co.kr/cm2/album/images/111/93/225/11193225_20230228162826_500.jpg/melon/resize/120/quality/80/optimize,나비무덤,포맨 (4MEN)포맨 (4MEN),나비무덤
91,https://cdnimg.melon.co.kr/cm2/album/images/107/78/556/10778556_20211116105621_500.jpg/melon/resize/120/quality/80/optimize,오르트구름,윤하 (YOUNHA)윤하 (YOUNHA),YOUNHA 6th Album 'END THEORY'
92,https://cdnimg.melon.co.kr/cm2/album/images/109/22/231/10922231_20220527120653_500.jpg/melon/resize/120/quality/80/optimize,HOT,세븐틴 (SEVENTEEN)세븐틴 (SEVENTEEN),SEVENTEEN 4th Album 'Face the Sun'
93,https://cdnimg.melon.co.kr/cm2/album/images/112/18/682/11218682_20230405175243_500.jpg/melon/resize/120/quality/80/optimize,가질 수 없는 너,#안녕#안녕,가질 수 없는 너
94,https://cdnimg.melon.co.kr/cm2/album/images/112/05/854/11205854_20230317102921_500.jpg/melon/resize/120/quality/80/optimize,너를 보는게 지친 하루에,송하예송하예,너를 보는게 지친 하루에
95,https://cdnimg.melon.co.kr/cm2/album/images/112/29/557/11229557_20230421172215_500.jpg/melon/resize/120/quality/80/optimize,나의 마음에 (Seed),태양태양,Down to Earth
96,https://cdnimg.melon.co.kr/cm2/album/images/112/36/264/11236264_20230508184331_500.jpg/melon/resize/120/quality/80/optimize,Salty & Sweet,aespaaespa,MY WORLD - The 3rd Mini Album
97,https://cdnimg.melon.co.kr/cm2/album/images/110/11/565/11011565_20220801102637_500.jpg/melon/resize/120/quality/80/optimize,Cookie,NewJeansNewJeans,NewJeans 1st EP 'New Jeans'
98,https://cdnimg.melon.co.kr/cm2/album/images/112/15/953/11215953_20230403104617_500.jpg/melon/resize/120/quality/80/optimize,Zero,NewJeansNewJeans,Zero
99,https://cdnimg.melon.co.kr/cm2/album/images/112/36/264/11236264_20230508184331_500.jpg/melon/resize/120/quality/80/optimize,Welcome To MY World (Feat. nævis),aespaaespa,MY WORLD - The 3rd Mini Album
100,https://cdnimg.melon.co.kr/cm2/album/images/111/06/209/11106209_20221120120732_500.jpg/melon/resize/120/quality/80/optimize,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound),"정국, 방탄소년단정국, 방탄소년단",Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack]
